metric,mean,count
round,3.0,48.0
client_id,4.0,48.0
silhouette_global,0.6341665670661327,48.0
silhouette_local,0.47665594814652373,48.0
acc_superTree_localTest,0.625,48.0
prec_superTree_localTest,0.5973587223587223,48.0
rec_superTree_localTest,0.625,48.0
f1_superTree_localTest,0.6013655462184874,48.0
acc_superTree_globalTest,0.7272727272727274,48.0
prec_superTree_globalTest,0.7177033492822966,48.0
rec_superTree_globalTest,0.7272727272727274,48.0
f1_superTree_globalTest,0.7136583223539744,48.0
acc_localTree_localTest,0.3541666666666667,48.0
prec_localTree_localTest,0.1254340277777778,48.0
rec_localTree_localTest,0.3541666666666667,48.0
f1_localTree_localTest,0.18525641025641024,48.0
acc_localTree_globalTest,0.4025974025974026,48.0
prec_localTree_globalTest,0.779042874933286,48.0
rec_localTree_globalTest,0.4025974025974026,48.0
f1_localTree_globalTest,0.2855507455507456,48.0
jaccard_cov_globalZ,0.6671583801910322,47.0
covL_globalZ,0.5585106382978723,47.0
covG_globalZ,0.3826241134751773,47.0
covInter_globalZ,0.3585106382978724,47.0
covUnion_globalZ,0.5826241134751773,47.0
jaccard_cov_localZ,0.7341027399332556,47.0
covL_localZ,0.4180851063829787,47.0
covG_localZ,0.48510638297872344,47.0
covInter_localZ,0.3671985815602837,47.0
covUnion_localZ,0.5359929078014184,47.0
ratio_has_factual_globalZ,0.9791666666666666,47.0
ratio_has_factual_localZ,0.9791666666666666,47.0
