metric,mean,count
round,3.0,51.0
client_id,2.0,51.0
silhouette_global,-0.8004333026304922,51.0
silhouette_local,-1.0,51.0
acc_superTree_localTest,0.0,51.0
prec_superTree_localTest,0.0,51.0
rec_superTree_localTest,0.0,51.0
f1_superTree_localTest,0.0,51.0
acc_superTree_globalTest,0.631578947368421,51.0
prec_superTree_globalTest,0.3988919667590027,51.0
rec_superTree_globalTest,0.631578947368421,51.0
f1_superTree_globalTest,0.4889643463497454,51.0
acc_localTree_localTest,1.0,51.0
prec_localTree_localTest,1.0,51.0
rec_localTree_localTest,1.0,51.0
f1_localTree_localTest,1.0,51.0
acc_localTree_globalTest,0.3684210526315789,51.0
prec_localTree_globalTest,0.13573407202216062,51.0
rec_localTree_globalTest,0.3684210526315789,51.0
f1_localTree_globalTest,0.19838056680161936,51.0
jaccard_cov,0.9438442728442729,50.0
cov_factual_local,1.0,50.0
cov_factual_global,0.9438442728442729,50.0
cov_interseccion,0.9438442728442729,50.0
cov_union,1.0,50.0
ratio_has_factual,0.9803921568627451,50.0
