metric,mean,count
round,3.0,17.0
client_id,2.0,17.0
silhouette_global,-0.6719695749709222,17.0
silhouette_local,-1.0,17.0
acc_superTree_localTest,0.0,17.0
prec_superTree_localTest,0.0,17.0
rec_superTree_localTest,0.0,17.0
f1_superTree_localTest,0.0,17.0
acc_superTree_globalTest,0.631578947368421,17.0
prec_superTree_globalTest,0.3988919667590027,17.0
rec_superTree_globalTest,0.631578947368421,17.0
f1_superTree_globalTest,0.4889643463497452,17.0
acc_localTree_localTest,1.0,17.0
prec_localTree_localTest,1.0,17.0
rec_localTree_localTest,1.0,17.0
f1_localTree_localTest,1.0,17.0
acc_localTree_globalTest,0.3684210526315789,17.0
prec_localTree_globalTest,0.1357340720221606,17.0
rec_localTree_globalTest,0.3684210526315789,17.0
f1_localTree_globalTest,0.1983805668016194,17.0
jaccard_cov,0.8376828700358112,17.0
cov_factual_local,1.0,17.0
cov_factual_global,0.8376828700358112,17.0
cov_interseccion,0.8376828700358112,17.0
cov_union,1.0,17.0
ratio_has_factual,1.0,17.0
