metric,mean,count
round,3.0,45.0
client_id,4.0,45.0
silhouette_global,0.5765809227193956,45.0
silhouette_local,-0.28115019791338897,45.0
acc_superTree_localTest,0.9777777777777773,45.0
prec_superTree_localTest,0.9851851851851854,45.0
rec_superTree_localTest,0.9777777777777773,45.0
f1_superTree_localTest,0.9798692810457517,45.0
acc_superTree_globalTest,0.9561403508771928,45.0
prec_superTree_globalTest,0.9568690958164642,45.0
rec_superTree_globalTest,0.9561403508771928,45.0
f1_superTree_globalTest,0.9557756825927248,45.0
acc_localTree_localTest,1.0,45.0
prec_localTree_localTest,1.0,45.0
rec_localTree_localTest,1.0,45.0
f1_localTree_localTest,1.0,45.0
acc_localTree_globalTest,0.8508771929824565,45.0
prec_localTree_globalTest,0.8702023257377159,45.0
rec_localTree_globalTest,0.8508771929824565,45.0
f1_localTree_globalTest,0.8417022868903185,45.0
jaccard_cov,0.453417626468259,40.0
cov_factual_local,0.9741666666666667,40.0
cov_factual_global,0.4491666666666666,40.0
cov_interseccion,0.44229166666666664,40.0
cov_union,0.9810416666666667,40.0
ratio_has_factual,0.8888888888888888,40.0
