metric,mean,count
round,3.0,8.0
client_id,1.0,8.0
silhouette_global,-0.7416429506870748,8.0
silhouette_local,0.16454393501922313,8.0
acc_superTree_localTest,0.375,8.0
prec_superTree_localTest,0.2142857142857142,8.0
rec_superTree_localTest,0.375,8.0
f1_superTree_localTest,0.2727272727272727,8.0
acc_superTree_globalTest,0.4166666666666667,8.0
prec_superTree_globalTest,0.3888888888888888,8.0
rec_superTree_globalTest,0.4166666666666667,8.0
f1_superTree_globalTest,0.3777777777777777,8.0
acc_localTree_localTest,0.625,8.0
prec_localTree_localTest,0.6333333333333333,8.0
rec_localTree_localTest,0.625,8.0
f1_localTree_localTest,0.6190476190476191,8.0
acc_localTree_globalTest,0.5833333333333334,8.0
prec_localTree_globalTest,0.5857142857142857,8.0
rec_localTree_globalTest,0.5833333333333334,8.0
f1_localTree_globalTest,0.5804195804195804,8.0
jaccard_cov_globalZ,0.5142540602099426,3.0
covL_globalZ,0.6666666666666666,3.0
covG_globalZ,0.5333333333333333,3.0
covInter_globalZ,0.3969696969696969,3.0
covUnion_globalZ,0.8030303030303031,3.0
jaccard_cov_localZ,0.4199283154121864,3.0
covL_localZ,0.3833333333333333,3.0
covG_localZ,0.8444444444444444,3.0
covInter_localZ,0.3583333333333332,3.0
covUnion_localZ,0.8694444444444445,3.0
ratio_has_factual_globalZ,0.375,3.0
ratio_has_factual_localZ,0.375,3.0
stability_shap_global,0.5333333333333333,1.0
stability_lime_global,0.2916666666666667,1.0
stability_anchor_global,0.75,1.0
stability_lore_global,0.3333333333333333,1.0
separability_shap_global,0.9285714285714286,1.0
separability_lime_global,0.9642857142857143,1.0
separability_anchor_global,0.25,1.0
separability_lore_global,0.6428571428571428,1.0
similarity_shap_global,124.61779291289191,1.0
similarity_lime_global,124.41779291289193,1.0
similarity_anchor_global,124.9392214843205,1.0
similarity_lore_global,124.54636434146336,1.0
stability_shap_local,0.39166666666666666,1.0
stability_lime_local,0.44166666666666665,1.0
stability_anchor_local,0.044444444444444446,1.0
stability_lore_local,0.0,1.0
separability_shap_local,0.9642857142857143,1.0
separability_lime_local,0.9642857142857143,1.0
separability_anchor_local,1.0,1.0
separability_lore_local,1.0,1.0
similarity_shap_local,124.55707862717762,1.0
similarity_lime_local,124.4910071986062,1.0
similarity_anchor_local,124.22612624622526,1.0
similarity_lore_local,124.1892214843205,1.0
