metric,mean,count
round,3.0,69.0
client_id,1.0,69.0
silhouette_global,0.45766906522014505,69.0
silhouette_local,0.30101351919090885,69.0
acc_superTree_localTest,0.3768115942028985,69.0
prec_superTree_localTest,0.4218805231530575,69.0
rec_superTree_localTest,0.3768115942028985,69.0
f1_superTree_localTest,0.3807417291984657,69.0
acc_superTree_globalTest,0.5789473684210528,69.0
prec_superTree_globalTest,0.6109346642468242,69.0
rec_superTree_globalTest,0.5789473684210528,69.0
f1_superTree_globalTest,0.5863504916136497,69.0
acc_localTree_localTest,0.4202898550724638,69.0
prec_localTree_localTest,0.48956176673567997,69.0
rec_localTree_localTest,0.4202898550724638,69.0
f1_localTree_localTest,0.40682530356443414,69.0
acc_localTree_globalTest,0.5964912280701756,69.0
prec_localTree_globalTest,0.6598883572567781,69.0
rec_localTree_globalTest,0.5964912280701756,69.0
f1_localTree_globalTest,0.6009746588693959,69.0
jaccard_cov,0.5472241658061513,57.0
cov_factual_local,0.6160818713450291,57.0
cov_factual_global,0.4342105263157895,57.0
cov_interseccion,0.3592105263157894,57.0
cov_union,0.6910818713450291,57.0
ratio_has_factual,0.8260869565217391,57.0
