metric,mean,count
round,3.0,20.0
client_id,1.0,20.0
silhouette_global,-0.954126685029298,20.0
silhouette_local,-1.0,20.0
acc_superTree_localTest,0.3499999999999999,20.0
prec_superTree_localTest,0.9133333333333333,20.0
rec_superTree_localTest,0.3499999999999999,20.0
f1_superTree_localTest,0.4148337595907928,20.0
acc_superTree_globalTest,0.7142857142857142,20.0
prec_superTree_globalTest,0.7233475479744136,20.0
rec_superTree_globalTest,0.7142857142857142,20.0
f1_superTree_globalTest,0.6694056694056695,20.0
acc_localTree_localTest,0.75,20.0
prec_localTree_localTest,0.7941176470588237,20.0
rec_localTree_localTest,0.75,20.0
f1_localTree_localTest,0.7714285714285716,20.0
acc_localTree_globalTest,0.5,20.0
prec_localTree_globalTest,0.7081038552321008,20.0
rec_localTree_globalTest,0.5,20.0
f1_localTree_globalTest,0.46577823780566685,20.0
acc_rf_localTest,0.8999999999999998,20.0
fidelity_localtree_rf_localTest,0.85,20.0
acc_rf_globalTest,0.35064935064935054,20.0
fidelity_localtree_rf_globalTest,0.7987012987012989,20.0
fidelity_supertree_rf_globalTest,0.12987012987012977,20.0
fidelity_supertree_rf_localTest,0.25,20.0
acc_nn_local_localTest,0.8999999999999998,20.0
acc_nn_global_localTest,0.8999999999999998,20.0
acc_nn_local_globalTest,0.35064935064935054,20.0
acc_nn_global_globalTest,0.35064935064935054,20.0
jaccard_cov_globalZ,,0.0
covL_globalZ,,0.0
covG_globalZ,,0.0
covInter_globalZ,,0.0
covUnion_globalZ,,0.0
jaccard_cov_localZ,,0.0
covL_localZ,,0.0
covG_localZ,,0.0
covInter_localZ,,0.0
covUnion_localZ,,0.0
ratio_has_factual_globalZ,0.0,0.0
ratio_has_factual_localZ,0.0,0.0
stability_shap_global,0.32402597402597405,1.0
stability_lime_global,0.15194805194805194,1.0
stability_anchor_global,1.0,1.0
stability_lore_global,0.7857142857142857,1.0
separability_shap_global,0.9631578947368421,1.0
separability_lime_global,1.0,1.0
separability_anchor_global,0.0,1.0
separability_lore_global,0.1947368421052632,1.0
similarity_shap_global,203.66595170472797,1.0
similarity_lime_global,203.51753065209638,1.0
similarity_anchor_global,204.36226749420166,1.0
similarity_lore_global,204.1675306520964,1.0
ratio_has_anchor_global,0.0,1.0
stability_shap_local,0.32922077922077925,1.0
stability_lime_local,0.1357142857142857,1.0
stability_anchor_local,1.0,1.0
stability_lore_local,1.0,1.0
separability_shap_local,0.9736842105263158,1.0
separability_lime_local,0.9947368421052631,1.0
separability_anchor_local,0.0,1.0
separability_lore_local,0.0,1.0
similarity_shap_local,203.68384644157013,1.0
similarity_lime_local,203.50174117841217,1.0
similarity_anchor_local,204.36226749420166,1.0
similarity_lore_local,204.36226749420166,1.0
ratio_has_anchor_local,0.0,1.0
