metric,mean,count
round,3.0,46.0
client_id,1.0,46.0
silhouette_global,0.17711611327259352,46.0
silhouette_local,0.3049015540920709,46.0
acc_superTree_localTest,0.7173913043478259,46.0
prec_superTree_localTest,0.7241048593350384,46.0
rec_superTree_localTest,0.7173913043478259,46.0
f1_superTree_localTest,0.7016991239969649,46.0
acc_superTree_globalTest,0.7597402597402599,46.0
prec_superTree_globalTest,0.7542891890717978,46.0
rec_superTree_globalTest,0.7597402597402599,46.0
f1_superTree_globalTest,0.748745627965433,46.0
acc_localTree_localTest,0.6956521739130433,46.0
prec_localTree_localTest,0.6950440863484344,46.0
rec_localTree_localTest,0.6956521739130433,46.0
f1_localTree_localTest,0.6823369565217391,46.0
acc_localTree_globalTest,0.7597402597402599,46.0
prec_localTree_globalTest,0.7542891890717978,46.0
rec_localTree_globalTest,0.7597402597402599,46.0
f1_localTree_globalTest,0.748745627965433,46.0
acc_gb_localTest,0.673913043478261,46.0
fidelity_localtree_gb_localTest,0.8043478260869562,46.0
acc_gb_globalTest,0.7662337662337665,46.0
fidelity_localtree_gb_globalTest,0.7857142857142856,46.0
fidelity_supertree_gb_globalTest,0.7727272727272727,46.0
jaccard_cov_globalZ,0.6384457671397066,39.0
covL_globalZ,0.5863494311360312,39.0
covG_globalZ,0.631791132167166,39.0
covInter_globalZ,0.4693210512231404,39.0
covUnion_globalZ,0.7488195120800568,39.0
jaccard_cov_localZ,0.4399506100934336,39.0
covL_localZ,0.41623931623931615,39.0
covG_localZ,0.9215811965811965,39.0
covInter_localZ,0.4025641025641025,39.0
covUnion_localZ,0.9352564102564102,39.0
ratio_has_factual_globalZ,0.8478260869565217,39.0
ratio_has_factual_localZ,0.8478260869565217,39.0
stability_shap_global,0.35038314176245217,1.0
stability_lime_global,0.1524904214559387,1.0
stability_anchor_global,0.9655172413793104,1.0
stability_lore_global,0.017241379310344827,1.0
separability_shap_global,0.9381642512077295,1.0
separability_lime_global,0.9884057971014493,1.0
separability_anchor_global,0.04347826086956519,1.0
separability_lore_global,0.9797101449275363,1.0
similarity_shap_global,154.03955956721651,1.0
similarity_lime_global,153.8403325140764,1.0
similarity_anchor_global,154.6451634319508,1.0
similarity_lore_global,153.70893154789283,1.0
stability_shap_local,0.41513409961685827,1.0
stability_lime_local,0.1685823754789272,1.0
stability_anchor_local,0.11829501915708812,1.0
stability_lore_local,0.0009578544061302681,1.0
separability_shap_local,0.936231884057971,1.0
separability_lime_local,0.9903381642512077,1.0
separability_anchor_local,0.9729468599033816,1.0
separability_lore_local,1.0,1.0
similarity_shap_local,154.0701875865402,1.0
similarity_lime_local,153.84564652373825,1.0
similarity_anchor_local,153.78579145127446,1.0
similarity_lore_local,153.68912478460783,1.0
