metric,mean,count
round,3.0,32.0
client_id,2.0,32.0
silhouette_global,0.27618238734906847,32.0
silhouette_local,0.22695512248685334,32.0
acc_superTree_localTest,0.75,32.0
prec_superTree_localTest,0.7277777777777777,32.0
rec_superTree_localTest,0.75,32.0
f1_superTree_localTest,0.7242857142857143,32.0
acc_superTree_globalTest,0.7467532467532467,32.0
prec_superTree_globalTest,0.7491267353336318,32.0
rec_superTree_globalTest,0.7467532467532467,32.0
f1_superTree_globalTest,0.7226829395504095,32.0
acc_localTree_localTest,0.75,32.0
prec_localTree_localTest,0.7277777777777777,32.0
rec_localTree_localTest,0.75,32.0
f1_localTree_localTest,0.7242857142857143,32.0
acc_localTree_globalTest,0.6818181818181818,32.0
prec_localTree_globalTest,0.6628489620615604,32.0
rec_localTree_globalTest,0.6818181818181818,32.0
f1_localTree_globalTest,0.6477105860365772,32.0
acc_gb_localTest,0.59375,32.0
fidelity_localtree_gb_localTest,0.65625,32.0
acc_gb_globalTest,0.7012987012987013,32.0
fidelity_localtree_gb_globalTest,0.7857142857142857,32.0
fidelity_supertree_gb_globalTest,0.8246753246753247,32.0
jaccard_cov_globalZ,0.556532226120548,32.0
covL_globalZ,0.8200520833333333,32.0
covG_globalZ,0.4984375,32.0
covInter_globalZ,0.4598958333333333,32.0
covUnion_globalZ,0.85859375,32.0
jaccard_cov_localZ,0.5937415279600634,32.0
covL_localZ,0.49244791666666665,32.0
covG_localZ,0.7486979166666667,32.0
covInter_localZ,0.4427083333333333,32.0
covUnion_localZ,0.7984375,32.0
ratio_has_factual_globalZ,1.0,32.0
ratio_has_factual_localZ,1.0,32.0
stability_shap_global,0.3799307958477509,1.0
stability_lime_global,0.16885813148788925,1.0
stability_anchor_global,0.972318339100346,1.0
stability_lore_global,0.0,1.0
separability_shap_global,0.9153225806451613,1.0
separability_lime_global,0.9879032258064516,1.0
separability_anchor_global,0.0625,1.0
separability_lore_global,1.0,1.0
similarity_shap_global,121.86160904438266,1.0
similarity_lime_global,121.6408429153504,1.0
similarity_anchor_global,122.42632678631813,1.0
similarity_lore_global,121.48882678631813,1.0
stability_shap_local,0.3667820069204153,1.0
stability_lime_local,0.18685121107266436,1.0
stability_anchor_local,0.3494809688581315,1.0
stability_lore_local,0.0,1.0
separability_shap_local,0.9455645161290323,1.0
separability_lime_local,0.9778225806451613,1.0
separability_anchor_local,0.6713709677419355,1.0
separability_lore_local,1.0,1.0
similarity_shap_local,121.86120581857622,1.0
similarity_lime_local,121.63298001212459,1.0
similarity_anchor_local,121.81745581857619,1.0
similarity_lore_local,121.48882678631813,1.0
