metric,mean,count
round,3.0,28.0
client_id,1.0,28.0
silhouette_global,0.010144084563285903,28.0
silhouette_local,-1.0,28.0
acc_superTree_localTest,0.32142857142857134,28.0
prec_superTree_localTest,0.9074675324675324,28.0
rec_superTree_localTest,0.32142857142857134,28.0
f1_superTree_localTest,0.3713364055299539,28.0
acc_superTree_globalTest,0.7467532467532468,28.0
prec_superTree_globalTest,0.7458523642630646,28.0
rec_superTree_globalTest,0.7467532467532468,28.0
f1_superTree_globalTest,0.725550260870757,28.0
acc_localTree_localTest,0.8571428571428571,28.0
prec_localTree_localTest,0.8571428571428571,28.0
rec_localTree_localTest,0.8571428571428571,28.0
f1_localTree_localTest,0.8571428571428571,28.0
acc_localTree_globalTest,0.5064935064935063,28.0
prec_localTree_globalTest,0.6837625651184972,28.0
rec_localTree_globalTest,0.5064935064935063,28.0
f1_localTree_globalTest,0.48218949313340564,28.0
acc_gb_localTest,0.8571428571428571,28.0
fidelity_localtree_gb_localTest,0.9285714285714283,28.0
acc_gb_globalTest,0.5324675324675324,28.0
fidelity_localtree_gb_globalTest,0.8311688311688312,28.0
fidelity_supertree_gb_globalTest,0.3701298701298702,28.0
jaccard_cov_globalZ,,0.0
covL_globalZ,,0.0
covG_globalZ,,0.0
covInter_globalZ,,0.0
covUnion_globalZ,,0.0
jaccard_cov_localZ,,0.0
covL_localZ,,0.0
covG_localZ,,0.0
covInter_localZ,,0.0
covUnion_localZ,,0.0
ratio_has_factual_globalZ,0.0,0.0
ratio_has_factual_localZ,0.0,0.0
stability_shap_global,0.31584158415841584,1.0
stability_lime_global,0.14785478547854786,1.0
stability_anchor_global,0.8451383599898452,1.0
stability_lore_global,0.0,1.0
separability_shap_global,0.9603174603174603,1.0
separability_lime_global,0.9920634920634921,1.0
separability_anchor_global,0.14021164021164023,1.0
separability_lore_global,1.0,1.0
similarity_shap_global,164.76022096714647,1.0
similarity_lime_global,164.6025490094745,1.0
similarity_anchor_global,165.3022234091489,1.0
similarity_lore_global,164.44223154915704,1.0
stability_shap_local,0.36204620462046205,1.0
stability_lime_local,0.12541254125412538,1.0
stability_anchor_local,1.0,1.0
stability_lore_local,1.0,1.0
separability_shap_local,0.9470899470899471,1.0
separability_lime_local,0.9973544973544973,1.0
separability_anchor_local,0.0,1.0
separability_lore_local,0.0,1.0
similarity_shap_local,164.81498287190837,1.0
similarity_lime_local,164.57239027931578,1.0
similarity_anchor_local,165.44223154915704,1.0
similarity_lore_local,165.44223154915704,1.0
