metric,mean
acc_localTree_globalTest,0.5208333333333334
acc_localTree_localTest,0.75
acc_superTree_globalTest,0.5
acc_superTree_localTest,0.6875
client_id,2.5
cmca_local_global,0.39947916666666655
f1_localTree_globalTest,0.5031746031746032
f1_localTree_localTest,0.75
f1_superTree_globalTest,0.4857142857142857
f1_superTree_localTest,0.6833333333333333
fcc_global,0.40740327380952374
fcc_local,0.6614583333333333
prec_localTree_globalTest,0.5277777777777778
prec_localTree_localTest,0.8333333333333334
prec_superTree_globalTest,0.5
prec_superTree_localTest,0.7916666666666666
rec_localTree_globalTest,0.5208333333333334
rec_localTree_localTest,0.75
rec_superTree_globalTest,0.5
rec_superTree_localTest,0.6875
round,3.0
silhouette_global,0.14492249278688882
silhouette_local,0.3391590705425043
