metric,mean,count
round,3.0,31.0
client_id,3.0,31.0
silhouette_global,0.4188402360753636,31.0
silhouette_local,0.5218905138060855,31.0
acc_superTree_localTest,0.709677419354839,31.0
prec_superTree_localTest,0.7026718800912347,31.0
rec_superTree_localTest,0.709677419354839,31.0
f1_superTree_localTest,0.7054131954041136,31.0
acc_superTree_globalTest,0.7467532467532468,31.0
prec_superTree_globalTest,0.749126735333632,31.0
rec_superTree_globalTest,0.7467532467532468,31.0
f1_superTree_globalTest,0.7226829395504095,31.0
acc_localTree_localTest,0.6451612903225805,31.0
prec_localTree_localTest,0.6757650951199342,31.0
rec_localTree_localTest,0.6451612903225805,31.0
f1_localTree_localTest,0.6546553026216418,31.0
acc_localTree_globalTest,0.7272727272727271,31.0
prec_localTree_globalTest,0.7324320794148381,31.0
rec_localTree_globalTest,0.7272727272727271,31.0
f1_localTree_globalTest,0.7293599257884972,31.0
jaccard_cov_globalZ,0.4988513626601488,31.0
covL_globalZ,0.6930107526881719,31.0
covG_globalZ,0.3903225806451613,31.0
covInter_globalZ,0.34650537634408596,31.0
covUnion_globalZ,0.7368279569892474,31.0
jaccard_cov_localZ,0.6341937576100255,31.0
covL_localZ,0.4255376344086022,31.0
covG_localZ,0.5403225806451613,31.0
covInter_localZ,0.3532258064516129,31.0
covUnion_localZ,0.6126344086021506,31.0
ratio_has_factual_globalZ,1.0,31.0
ratio_has_factual_localZ,1.0,31.0
