metric,mean,count
round,3.0,61.0
client_id,5.0,61.0
silhouette_global_LORE,0.46803381786406295,61.0
silhouette_local_LORE,0.4355541037927961,61.0
tree_fidelity_lore_global,0.9697995591679296,61.0
tree_fidelity_lore_local,0.9703724717119065,61.0
acc_localTree_localTest,0.7540983606557379,61.0
acc_localTree_globalTest,0.6933333333333335,61.0
acc_nn_local_localTest,0.7868852459016391,61.0
acc_nn_global_localTest,0.8196721311475412,61.0
acc_nn_local_globalTest,0.7633333333333335,61.0
acc_nn_global_globalTest,0.7433333333333332,61.0
has_factual_local,0.9508196721311475,61.0
has_factual_global,0.9672131147540983,61.0
cov_ruleLocal_on_localZ_LORE,0.439384179244462,58.0
cov_ruleLocal_on_globalZ_LORE,0.6221385105766446,58.0
cov_ruleGlobal_on_localZ_LORE,0.6252552218177716,59.0
cov_ruleGlobal_on_globalZ_LORE,0.4402945924132365,59.0
jaccard_cov_globalZ_LORE,0.7071760333840578,49.0
covInter_globalZ_LORE,0.4200237237752243,49.0
covUnion_globalZ_LORE,0.6422797690504773,49.0
jaccard_cov_localZ_LORE,0.6875072353739052,49.0
covInter_localZ_LORE,0.4133519157717842,49.0
covUnion_localZ_LORE,0.6499702159571746,49.0
jaccard_cov_combinedZ_LORE,0.6802287676628297,49.0
covInter_combinedZ_LORE,0.4166942944081277,49.0
covUnion_combinedZ_LORE,0.6460962837222373,49.0
jaccard_lore_struct,0.42614348021142023,49.0
sim_aditiva_lore,0.7001591421455216,49.0
delta_lime_testlocal,0.05978315750359005,53.0
delta_lime_testglobal,0.054407146177716685,53.0
delta_shap_testlocal,0.06006139945546193,53.0
delta_shap_testglobal,0.056507406284517364,53.0
jaccard_anchor_struct_testlocal,0.4571144905988173,53.0
jaccard_anchor_struct_testglobal,0.5102181073221584,53.0
sim_aditiva_anchor_testlocal,0.717506619720754,53.0
sim_aditiva_anchor_testglobal,0.7388875072534147,53.0
anchor_prec_testlocal_local,0.8995069584897528,61.0
anchor_prec_testlocal_global,0.9019890505224916,61.0
anchor_prec_testglobal_local,0.8922588934345944,61.0
anchor_prec_testglobal_global,0.9230180624594682,61.0
anchor_cov_testlocal_local,0.5444772910507927,61.0
anchor_cov_testlocal_global,0.5474334856221447,61.0
anchor_cov_testglobal_local,0.4713114754098361,61.0
anchor_cov_testglobal_global,0.5122950819672131,61.0
pred_agreement_localTest,0.8688524590163935,61.0
pred_agreement_globalTest,0.886666666666667,61.0
ratio_has_factual_globalZ_LORE,0.8032786885245902,49.0
ratio_has_factual_localZ_LORE,0.8032786885245902,49.0
ratio_has_factual_combinedZ_LORE,0.8032786885245902,49.0
stability_shap_global,0.6098360655737705,1.0
stability_lime_global,0.2768676101062032,1.0
stability_anchor_testlocal_global,0.21469945355191253,1.0
stability_lore_global,0.0,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.40491803278688526,1.0
stability_lime_local,0.2768676101062032,1.0
stability_anchor_testlocal_local,0.16486338797814207,1.0
stability_lore_local,0.0,1.0
ratio_has_anchor_testlocal_local,1.0,1.0
ratio_has_anchor_testglobal_local,1.0,1.0
