metric,mean,count
round,3.0,61.0
client_id,4.0,61.0
silhouette_global_LORE,0.5449485831056415,61.0
silhouette_local_LORE,0.49209748570184364,61.0
tree_fidelity_lore_global,0.9707650273224046,61.0
tree_fidelity_lore_local,0.9674793924238216,61.0
acc_localTree_localTest,0.721311475409836,61.0
acc_localTree_globalTest,0.7400000000000002,61.0
acc_nn_local_localTest,0.7704918032786885,61.0
acc_nn_global_localTest,0.7049180327868853,61.0
acc_nn_local_globalTest,0.7700000000000004,61.0
acc_nn_global_globalTest,0.7733333333333333,61.0
has_factual_local,1.0,61.0
has_factual_global,0.9836065573770492,61.0
cov_ruleLocal_on_localZ_LORE,0.39876817634528106,61.0
cov_ruleLocal_on_globalZ_LORE,0.5457650273224043,61.0
cov_ruleGlobal_on_localZ_LORE,0.6664595103578155,60.0
cov_ruleGlobal_on_globalZ_LORE,0.4116666666666667,60.0
jaccard_cov_globalZ_LORE,0.7627534291635575,48.0
covInter_globalZ_LORE,0.38229166666666664,48.0
covUnion_globalZ_LORE,0.5421874999999999,48.0
jaccard_cov_localZ_LORE,0.6311495811775023,48.0
covInter_localZ_LORE,0.37916666666666665,48.0
covUnion_localZ_LORE,0.6611111111111111,48.0
jaccard_cov_combinedZ_LORE,0.674243325092612,48.0
covInter_combinedZ_LORE,0.38072916666666673,48.0
covUnion_combinedZ_LORE,0.6016493055555555,48.0
jaccard_lore_struct,0.361545510155905,48.0
sim_aditiva_lore,0.6432880680456883,48.0
delta_lime_testlocal,0.05756305560431892,49.0
delta_lime_testglobal,0.05777275634473585,49.0
delta_shap_testlocal,0.06824457204995779,49.0
delta_shap_testglobal,0.06374514973809994,49.0
jaccard_anchor_struct_testlocal,0.30782442867838533,49.0
jaccard_anchor_struct_testglobal,0.27034810022410716,49.0
sim_aditiva_anchor_testlocal,0.5777973119473008,49.0
sim_aditiva_anchor_testglobal,0.6357351150943138,49.0
anchor_prec_testlocal_local,0.9090509092568745,61.0
anchor_prec_testlocal_global,0.9404713905146281,61.0
anchor_prec_testglobal_local,0.9176984029448728,61.0
anchor_prec_testglobal_global,0.8889520635568986,61.0
anchor_cov_testlocal_local,0.4479978500403117,61.0
anchor_cov_testlocal_global,0.513571620532115,61.0
anchor_cov_testglobal_local,0.44672131147540983,61.0
anchor_cov_testglobal_global,0.48360655737704916,61.0
pred_agreement_localTest,0.8032786885245903,61.0
pred_agreement_globalTest,0.7700000000000004,61.0
ratio_has_factual_globalZ_LORE,0.7868852459016393,48.0
ratio_has_factual_localZ_LORE,0.7868852459016393,48.0
ratio_has_factual_combinedZ_LORE,0.7868852459016393,48.0
stability_shap_global,0.5009836065573771,1.0
stability_lime_global,0.2578648482749381,1.0
stability_anchor_testlocal_global,0.5676814988290398,1.0
stability_lore_global,0.0,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.4377049180327869,1.0
stability_lime_local,0.2578648482749381,1.0
stability_anchor_testlocal_local,0.12699453551912568,1.0
stability_lore_local,0.0,1.0
ratio_has_anchor_testlocal_local,1.0,1.0
ratio_has_anchor_testglobal_local,1.0,1.0
