metric,mean
acc_localTree_globalTest,0.5449657869012707
acc_localTree_localTest,1.0
acc_superTree_globalTest,0.6493506493506493
acc_superTree_localTest,0.6505376344086021
client_id,2.381720430107527
covG_globalZ,1.0
covG_localZ,1.0
covInter_globalZ,1.0
covInter_localZ,1.0
covL_globalZ,1.0
covL_localZ,1.0
covUnion_globalZ,1.0
covUnion_localZ,1.0
f1_localTree_globalTest,0.39624560309726686
f1_localTree_localTest,1.0
f1_superTree_globalTest,0.5112997238981491
f1_superTree_localTest,0.6505376344086021
jaccard_cov_globalZ,1.0
jaccard_cov_localZ,1.0
prec_localTree_globalTest,0.31727140336273124
prec_localTree_localTest,1.0
prec_superTree_globalTest,0.4216562658121099
prec_superTree_localTest,0.6505376344086021
ratio_has_factual_globalZ,1.0
ratio_has_factual_localZ,1.0
rec_localTree_globalTest,0.5449657869012707
rec_localTree_localTest,1.0
rec_superTree_globalTest,0.6493506493506493
rec_superTree_localTest,0.6505376344086021
round,3.0
silhouette_global,-1.0
silhouette_local,-1.0
