metric,mean,count
round,3.0,96.0
client_id,6.0,96.0
silhouette_global_LORE,0.627355158677713,96.0
silhouette_local_LORE,-1.0,96.0
tree_fidelity_lore_global,0.9552083333333332,96.0
tree_fidelity_lore_local,1.0,96.0
acc_localTree_localTest,0.8865979381443302,96.0
acc_localTree_globalTest,0.5266666666666665,96.0
acc_nn_local_localTest,0.8969072164948456,96.0
acc_nn_global_localTest,0.6082474226804122,96.0
acc_nn_local_globalTest,0.5,96.0
acc_nn_global_globalTest,0.75,96.0
has_factual_local,0.0,96.0
has_factual_global,1.0,96.0
model_disagreement,0.4791666666666667,96.0
ratio_opposite_neighborhood_local,0.0,96.0
ratio_opposite_neighborhood_global,0.5260416666666666,96.0
cov_ruleLocal_on_localZ_LORE,,0.0
cov_ruleLocal_on_globalZ_LORE,,0.0
cov_ruleGlobal_on_localZ_LORE,0.7297348484848486,96.0
cov_ruleGlobal_on_globalZ_LORE,0.45703125,96.0
jaccard_cov_globalZ_LORE,,0.0
covInter_globalZ_LORE,,0.0
covUnion_globalZ_LORE,,0.0
jaccard_cov_localZ_LORE,,0.0
covInter_localZ_LORE,,0.0
covUnion_localZ_LORE,,0.0
jaccard_lore_struct,,0.0
sim_aditiva_lore,,0.0
delta_lime_testlocal,0.015099766988455521,50.0
delta_lime_testglobal,0.015397861511679909,50.0
delta_shap_testlocal,0.023909044275554372,50.0
delta_shap_testglobal,0.021954073399232863,50.0
jaccard_anchor_struct_testlocal,,0.0
jaccard_anchor_struct_testglobal,,0.0
sim_aditiva_anchor_testlocal,,0.0
sim_aditiva_anchor_testglobal,,0.0
anchor_prec_testlocal_local,,0.0
anchor_prec_testlocal_global,0.9373165975138694,96.0
anchor_prec_testglobal_local,,0.0
anchor_prec_testglobal_global,0.9343315999955819,96.0
anchor_cov_testlocal_local,,0.0
anchor_cov_testlocal_global,0.4415807560137457,96.0
anchor_cov_testglobal_local,,0.0
anchor_cov_testglobal_global,0.5126388888888889,96.0
pred_agreement_localTest,0.5257731958762887,96.0
pred_agreement_globalTest,0.3233333333333333,96.0
ratio_has_factual_globalZ_LORE,0.0,96.0
ratio_has_factual_localZ_LORE,0.0,96.0
ratio_model_disagreement,0.4791666666666667,96.0
ratio_fail_monoclase_only,0.5208333333333334,96.0
ratio_fail_disagreement_only,0.0,96.0
ratio_fail_both_causes,0.4791666666666667,96.0
ratio_fail_noniid_local,1.0,96.0
ratio_fail_global_only,0.0,96.0
ratio_fail_geometric,0.0,96.0
stability_shap_global,0.33916666666666667,1.0
stability_lime_global,0.24625180273158215,1.0
stability_anchor_testlocal_global,0.10357638888888888,1.0
stability_lore_global,0.003298611111111111,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.2891666666666667,1.0
stability_lime_local,0.24625180273158215,1.0
stability_anchor_testlocal_local,1.0,1.0
stability_lore_local,1.0,1.0
ratio_has_anchor_testlocal_local,0.0,1.0
ratio_has_anchor_testglobal_local,0.0,1.0
