metric,mean
acc_localTree_globalTest,0.5833333333333334
acc_localTree_localTest,0.6875
acc_superTree_globalTest,0.4166666666666667
acc_superTree_localTest,0.5
client_id,1.5
covG_globalZ,0.5333333333333333
covG_localZ,0.8125
covInter_globalZ,0.41515151515151505
covInter_localZ,0.35555555555555546
covL_globalZ,0.6212121212121212
covL_localZ,0.37916666666666665
covUnion_globalZ,0.7393939393939394
covUnion_localZ,0.8361111111111111
f1_localTree_globalTest,0.5804195804195804
f1_localTree_localTest,0.6845238095238095
f1_superTree_globalTest,0.3777777777777777
f1_superTree_localTest,0.4458874458874459
jaccard_cov_globalZ,0.5979913245406944
jaccard_cov_localZ,0.44311709367322805
prec_localTree_globalTest,0.5857142857142857
prec_localTree_localTest,0.6916666666666667
prec_superTree_globalTest,0.3888888888888888
prec_superTree_localTest,0.42380952380952375
ratio_has_factual_globalZ,0.375
ratio_has_factual_localZ,0.375
rec_localTree_globalTest,0.5833333333333334
rec_localTree_localTest,0.6875
rec_superTree_globalTest,0.4166666666666667
rec_superTree_localTest,0.5
round,3.0
separability_anchor_global,0.125
separability_anchor_local,0.8928571428571428
separability_lime_global,0.9642857142857144
separability_lime_local,0.9821428571428572
separability_lore_global,0.6428571428571428
separability_lore_local,1.0
separability_shap_global,0.9107142857142858
separability_shap_local,0.9642857142857144
silhouette_global,-0.6914321289238857
silhouette_local,0.2876691860824711
similarity_anchor_global,129.9584034340722
similarity_anchor_local,129.21495105311985
similarity_lime_global,129.32804629121506
similarity_lime_local,129.30572486264364
similarity_lore_global,129.44054629121507
similarity_lore_local,129.09292724359602
similarity_shap_global,129.46911771978648
similarity_shap_local,129.41733200550078
stability_anchor_global,0.875
stability_anchor_local,0.1055555555555555
stability_lime_global,0.2875
stability_lime_local,0.29999999999999993
stability_lore_global,0.3333333333333333
stability_lore_local,0.0
stability_shap_global,0.44166666666666665
stability_shap_local,0.3833333333333333
