metric,mean,count
round,3.0,8.0
client_id,2.0,8.0
silhouette_global,-0.6412213071606967,8.0
silhouette_local,0.41079443714571917,8.0
acc_superTree_localTest,0.625,8.0
prec_superTree_localTest,0.6333333333333333,8.0
rec_superTree_localTest,0.625,8.0
f1_superTree_localTest,0.6190476190476191,8.0
acc_superTree_globalTest,0.4166666666666667,8.0
prec_superTree_globalTest,0.3888888888888888,8.0
rec_superTree_globalTest,0.4166666666666667,8.0
f1_superTree_globalTest,0.3777777777777777,8.0
acc_localTree_localTest,0.75,8.0
prec_localTree_localTest,0.75,8.0
rec_localTree_localTest,0.75,8.0
f1_localTree_localTest,0.75,8.0
acc_localTree_globalTest,0.5833333333333334,8.0
prec_localTree_globalTest,0.5857142857142857,8.0
rec_localTree_globalTest,0.5833333333333334,8.0
f1_localTree_globalTest,0.5804195804195804,8.0
jaccard_cov_globalZ,0.681728588871446,3.0
covL_globalZ,0.5757575757575757,3.0
covG_globalZ,0.5333333333333333,3.0
covInter_globalZ,0.4333333333333333,3.0
covUnion_globalZ,0.6757575757575758,3.0
jaccard_cov_localZ,0.4663058719342697,3.0
covL_localZ,0.375,3.0
covG_localZ,0.7805555555555556,3.0
covInter_localZ,0.3527777777777778,3.0
covUnion_localZ,0.8027777777777777,3.0
ratio_has_factual_globalZ,0.375,3.0
ratio_has_factual_localZ,0.375,3.0
stability_shap_global,0.35000000000000003,1.0
stability_lime_global,0.2833333333333333,1.0
stability_anchor_global,1.0,1.0
stability_lore_global,0.3333333333333333,1.0
separability_shap_global,0.8928571428571429,1.0
separability_lime_global,0.9642857142857143,1.0
separability_anchor_global,0.0,1.0
separability_lore_global,0.6428571428571428,1.0
similarity_shap_global,134.32044252668106,1.0
similarity_lime_global,134.2382996695382,1.0
similarity_anchor_global,134.97758538382394,1.0
similarity_lore_global,134.3347282409668,1.0
stability_shap_local,0.375,1.0
stability_lime_local,0.15833333333333335,1.0
stability_anchor_local,0.16666666666666666,1.0
stability_lore_local,0.0,1.0
separability_shap_local,0.9642857142857143,1.0
separability_lime_local,1.0,1.0
separability_anchor_local,0.7857142857142857,1.0
separability_lore_local,1.0,1.0
similarity_shap_local,134.27758538382392,1.0
similarity_lime_local,134.12044252668107,1.0
similarity_anchor_local,134.20377586001442,1.0
similarity_lore_local,133.99663300287156,1.0
