metric,mean,count
round,3.0,32.0
client_id,1.0,32.0
silhouette_global_LORE,0.5031389546020292,32.0
silhouette_local_LORE,0.6586200690147848,32.0
tree_fidelity_lore_global,0.9704024497759912,32.0
tree_fidelity_lore_local,0.9677039565826331,32.0
acc_localTree_localTest,0.9375,32.0
acc_localTree_globalTest,0.9210526315789472,32.0
acc_nn_local_localTest,0.96875,32.0
acc_nn_global_localTest,0.96875,32.0
acc_nn_local_globalTest,0.9473684210526316,32.0
acc_nn_global_globalTest,0.956140350877193,32.0
has_factual_local,0.96875,32.0
has_factual_global,0.8125,32.0
cov_ruleLocal_on_localZ_LORE,0.5071518930152705,31.0
cov_ruleLocal_on_globalZ_LORE,0.6506003939417093,31.0
cov_ruleGlobal_on_localZ_LORE,0.47335703512174104,26.0
cov_ruleGlobal_on_globalZ_LORE,0.42175656224867103,26.0
jaccard_cov_globalZ_LORE,0.6734243443278229,25.0
covInter_globalZ_LORE,0.39200465584706246,25.0
covUnion_globalZ_LORE,0.6268184314922185,25.0
jaccard_cov_localZ_LORE,0.7781391918731393,25.0
covInter_localZ_LORE,0.3991624649859944,25.0
covUnion_localZ_LORE,0.5333305322128851,25.0
jaccard_cov_combinedZ_LORE,0.705127122414285,25.0
covInter_combinedZ_LORE,0.39566062878898206,25.0
covUnion_combinedZ_LORE,0.5801579972725501,25.0
jaccard_lore_struct,0.24558428533714402,25.0
sim_aditiva_lore,0.5300996082758276,25.0
delta_lime_testlocal,0.016951962818233666,32.0
delta_lime_testglobal,0.01521343119176443,32.0
delta_shap_testlocal,0.037387408670930475,32.0
delta_shap_testglobal,0.0509469379537711,32.0
jaccard_anchor_struct_testlocal,0.6157695477770923,27.0
jaccard_anchor_struct_testglobal,0.21039830752650862,32.0
sim_aditiva_anchor_testlocal,0.7363695447382299,27.0
sim_aditiva_anchor_testglobal,0.45917645417509373,32.0
anchor_prec_testlocal_local,0.9806112607907371,32.0
anchor_prec_testlocal_global,0.9925899219109627,32.0
anchor_prec_testglobal_local,0.9711538989919405,32.0
anchor_prec_testglobal_global,0.9536142747117982,32.0
anchor_cov_testlocal_local,0.6640625,32.0
anchor_cov_testlocal_global,0.6015625,32.0
anchor_cov_testglobal_local,0.4769736842105263,32.0
anchor_cov_testglobal_global,0.5693530701754386,32.0
pred_agreement_localTest,1.0,32.0
pred_agreement_globalTest,0.9912280701754386,32.0
ratio_has_factual_globalZ_LORE,0.78125,25.0
ratio_has_factual_localZ_LORE,0.78125,25.0
ratio_has_factual_combinedZ_LORE,0.78125,25.0
stability_shap_global,0.090625,1.0
stability_lime_global,0.260606705363479,1.0
stability_anchor_testlocal_global,0.20208333333333334,1.0
stability_lore_global,0.0828125,1.0
ratio_has_anchor_testlocal_global,1.0,1.0
ratio_has_anchor_testglobal_global,1.0,1.0
stability_shap_local,0.053750000000000006,1.0
stability_lime_local,0.260606705363479,1.0
stability_anchor_testlocal_local,0.16458333333333333,1.0
stability_lore_local,0.0,1.0
ratio_has_anchor_testlocal_local,1.0,1.0
ratio_has_anchor_testglobal_local,1.0,1.0
